r	intercept	slope	subcl	all
CRC1331LMX0A02005TUMD03000V2.fit.0.025_0.15.r2:1	0.978338364301199	4.6926812326159	NA	116	394
CRC1331PRX0A01001TUMD05000V2.fit.0.025_0.15.r2:1	0.922454511828597	3.72217869082932	NA	92	323
CRC1387LMX0A02001TUMD03000V2.fit.0.025_0.15.r2:1	0.933887272317382	1.03034711521289	NA	27	331
CRC1387PRX0B01001TUMD05000V2.fit.0.025_0.15.r2:1	0.996392321945187	2.18371238332728	NA	66	398
CRC1473LMX0B02002TUMD03000V2.fit.0.025_0.15.r2:1	0.990161185278366	1.47394033025962	NA	44	390
CRC1473PRX0B01001TUMD03000V2.fit.0.025_0.15.r2:1	0.984103954577383	2.29173481671028	NA	62	275
CRC1486LMX0B02002TUMD03000V2.fit.0.025_0.15.r2:1	0.902099929262113	2.70761190324265	NA	53	355
CRC1486PRX0A01001TUMD03000V2.fit.0.025_0.15.r2:1	0.933920442679784	0.414993084539499	NA	12	272
CRC1599LMX0A02001TUMD03000V2.fit.0.025_0.15.r2:1	0.928585367920706	3.89428283175775	NA	89	345
CRC1599PRX0A02002TUMD03000V2.fit.0.025_0.15.r2:1	0.97714068594269	1.53159688530047	NA	40	261
CRC1624LMX0B02001TUMD03000V2.fit.0.025_0.15.r2:1	0.922557786718341	7.46638841546028	NA	162	607
CRC1624PRX0B02001TUMD03000V2.fit.0.025_0.15.r2:1	0.914325297611348	1.31921002556112	NA	32	443
CRC1673LMX0B02004TUMD03000V2.fit.0.025_0.15.r2:1	0.79338191020109	0.177189849833763	NA	4	38
CRC1673PRX0B02001TUMD03000V2.fit.0.025_0.15.r2:1	0.889893247439034	2.48857649420408	NA	56	482
CRC1824LMX0A02001TUMD03000V2.fit.0.025_0.15.r2:1	0.931608590125602	3.33088464623271	NA	71	467
CRC1824PRX0A02003TUMD03000V2.fit.0.025_0.15.r2:1	0.792245684235964	1.97639506555534	NA	35	476
CRC2790LMX0A02001TUMD03000V2.fit.0.025_0.15.r2:1	0.952965907989542	2.65252759330618	NA	63	323
CRC2790PRX0A02001TUMD03000V2.fit.0.025_0.15.r2:1	0.984177814959787	2.02602178086401	NA	44	314
CRC0053LMX0A02204TUMD07000V2.fit.0.025_0.2.r2:1	0.948378558711534	1.48108491451627	NA	36	206
CRC0053PRX0A01201TUMD05000V2.fit.0.025_0.2.r2:1	0.986135012493686	1.13473386760833	NA	30	213
CRC0065LMX0B02205TUMD02000V2.fit.0.025_0.2.r2:1	0.538323121288581	4.93939762705366	NA	97	481
CRC0065PRX0A01201TUMD03000V2.fit.0.025_0.2.r2:1	0.930416693365569	5.18427452944885	NA	117	394
CRC0071LMX0A02204TUMD09000V2.fit.0.025_0.2.r2:1	0.952781754291791	2.04800218494505	NA	43	266
CRC0071PRX0A01201TUMD06000V2.fit.0.025_0.2.r2:1	0.889418482583078	1.5399661595815	NA	39	241
CRC0094LMX0A02201TUMD05000V2.fit.0.025_0.2.r2:1	0.945284641137756	4.78172815807842	NA	108	370
CRC0094PRX0A01201TUMD06000V2.fit.0.025_0.2.r2:1	0.918474002310531	1.05789526336383	NA	26	203
CRC0333LMX0A02204TUMD07000V2.fit.0.025_0.2.r2:1	0.988619663471712	3.38937921841135	NA	97	373
CRC0333PRX0A01201TUMD07000V2.fit.0.025_0.2.r2:1	0.996495191386762	1.7030197146263	NA	52	313
CRC0440LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.912631783776386	2.11464227153401	NA	52	369
CRC0440PRX0A01001TUMD12000V2.fit.0.025_0.2.r2:1	0.988081676204404	0.472812736521681	NA	14	57
CRC0449LMX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.764238335631193	0.716095367410648	NA	13	198
CRC0449PRX0A01001TUMD11000V2.fit.0.025_0.2.r2:1	0.979560448144491	2.89743443964951	NA	79	274
CRC0468LMX0B02004TUMD07000V2.fit.0.025_0.2.r2:1	0.995301184034538	0.640718258303641	NA	19	237
CRC0468PRX0B01001TUMD08000V2.fit.0.025_0.2.r2:1	0.944652274705857	1.58581963330122	NA	28	272
CRC0481LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.86445069924731	1.5806920133518	NA	34	186
CRC0481PRX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.926684733680078	2.25106319647789	NA	45	192
CRC0498LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.811204118653937	2.09521398363825	NA	45	296
CRC0498PRX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.904732594185988	3.34098221439357	NA	69	301
CRC0549LMX0B02004TUMD10000V2.fit.0.025_0.2.r2:1	0.903327707625842	5.92608492413494	NA	131	313
CRC0549PRX0A02004TUMD08000V2.fit.0.025_0.2.r2:1	0.871381229113791	1.13991014614629	NA	18	82
CRC0740LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.9628805230085	1.9571726239346	NA	37	241
CRC0740PRX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.938151340775309	7.1439578058398	NA	166	394
CRC1063LMX0A01001TUMD07000V2.fit.0.025_0.2.r2:1	0.968026699477644	2.9648233092021	NA	90	427
CRC1063PRX0B02001TUMD08000V2.fit.0.025_0.2.r2:1	0.919837513302559	1.33706419387771	NA	28	266
CRC1144LMX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.817605688132359	7.21999176905212	NA	132	322
CRC1144PRX0B02002TUMD08000V2.fit.0.025_0.2.r2:1	0.726914641656099	4.08951711388853	NA	68	302
CRC1169LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.828049774216373	13.5191284512636	NA	260	720
CRC1169PRX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.813050350217199	5.86145803145534	NA	149	585
CRC1182LMX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.692775743510366	3.50035072896722	NA	53	273
CRC1182PRX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.991439485796344	2.85154593062448	NA	83	310
CRC1240LMX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.897539192394597	3.80919796162426	NA	91	442
CRC1240PRX0B01001TUMD08000V2.fit.0.025_0.2.r2:1	0.903172822712931	0.529695767423484	NA	13	389
CRC1251LMX0A02001TUMD08000V2.fit.0.025_0.2.r2:1	0.947203715872915	2.35077867937732	NA	64	297
CRC1251PRX0A01001TUMD08000V2.fit.0.025_0.2.r2:1	0.928744286288483	3.08274137691851	NA	82	346
CRC1331LMX0A02005TUMD03000V2.fit.0.025_0.2.r2:1	0.934981526814407	6.42486187051129	NA	155	394
CRC1331PRX0A01001TUMD05000V2.fit.0.025_0.2.r2:1	0.894623090614723	4.61356411089571	NA	114	323
CRC1387LMX0A02001TUMD03000V2.fit.0.025_0.2.r2:1	0.936121405222984	1.10603747863931	NA	30	331
CRC1387PRX0B01001TUMD05000V2.fit.0.025_0.2.r2:1	0.996358367323445	2.1511888859281	NA	69	398
CRC1473LMX0B02002TUMD03000V2.fit.0.025_0.2.r2:1	0.931016067050131	2.13652330582719	NA	61	390
CRC1473PRX0B01001TUMD03000V2.fit.0.025_0.2.r2:1	0.974170783862916	2.61097101571579	NA	72	275
CRC1486LMX0B02002TUMD03000V2.fit.0.025_0.2.r2:1	0.885448466938759	3.32403127702914	NA	66	355
